�3 04060952.csv,,Lenta-847,1614545971,120
Name,10CT G PBP -1/+1:   --- EKC состояние,10CT G PBP -1/+1:   u09 S5 Темп,11CT G OVZ +5/+8:   u69 Sair Темп,11CT G OVZ +5/+8:   u09 S5 Темп,11CT G OVZ +5/+8:   --- EKC состояние,12CT G GSR +2/+4:   u09 S5 Темп,12CT G GSR +2/+4:   u69 Sair Темп,12CT G GSR +2/+4:   --- EKC состояние,13CT G PBP -1/+1:   u69 Sair Темп,13CT G PBP -1/+1:   --- EKC состояние,13CT G PBP -1/+1:   u09 S5 Темп,14HT SH IKRA -4/-8:   u09 S5 Темп,14HT SH IKRA -4/-8:   --- EKC состояние,14HT SH IKRA -4/-8:   u17 Термостат,15CT G MSO -1/+1:   u09 S5 Темп,15CT G MSO -1/+1:   --- EKC состояние,15CT G MSO -1/+1:   u69 Sair Темп,16CT G MSO -1/+1:   u69 Sair Темп,16CT G MSO -1/+1:   u09 S5 Темп,16CT G MSO -1/+1:   --- EKC состояние,17CT G GSR +2/+4:   u09 S5 Темп,17CT G GSR +2/+4:   --- EKC состояние,17CT G GSR +2/+4:   u69 Sair Темп,18CT G PTO -1/+1:   u69 Sair Темп,18CT G PTO -1/+1:   u09 S5 Темп,18CT G PTO -1/+1:   --- EKC состояние,19CT G GSR +2/+4:   --- EKC состояние,19CT G GSR +2/+4:   u09 S5 Темп,19CT G GSR +2/+4:   u69 Sair Темп,20CT G GSR +2/+4:   u09 S5 Темп,20CT G GSR +2/+4:   u69 Sair Темп,20CT G GSR +2/+4:   --- EKC состояние,21CT G GSR +2/+4:   u09 S5 Темп,21CT G GSR +2/+4:   u69 Sair Темп,21CT G GSR +2/+4:   --- EKC состояние,22CT G GSR +2/+4:   u09 S5 Темп,22CT G GSR +2/+4:   u69 Sair Темп,22CT G GSR +2/+4:   --- EKC состояние,23CT V MSO -1/+1:   --- EKC состояние,23CT V MSO -1/+1:   u69 Sair Темп,23CT V MSO -1/+1:   u09 S5 Темп,24CT V GSR +2/+4:   --- EKC состояние,24CT V GSR +2/+4:   u69 Sair Темп,24CT V GSR +2/+4:   u09 S5 Темп,25CT V GSR +2/+4:   u09 S5 Темп,25CT V GSR +2/+4:   u69 Sair Темп,25CT V GSR +2/+4:   --- EKC состояние,26CT G MLK +2/+4:   u09 S5 Темп,26CT G MLK +2/+4:   --- EKC состояние,26CT G MLK +2/+4:   u69 Sair Темп,27CT G MLK +2/+4:   u69 Sair Темп,27CT G MLK +2/+4:   --- EKC состояние,27CT G MLK +2/+4:   u09 S5 Темп,28CT G MLK +2/+4:   --- EKC состояние,28CT G MLK +2/+4:   u69 Sair Темп,28CT G MLK +2/+4:   u09 S5 Темп,29CT G MLK +2/+4:   u09 S5 Темп,29CT G MLK +2/+4:   u69 Sair Темп,29CT G MLK +2/+4:   --- EKC состояние,30CT G GSR +2/+4:   u09 S5 Темп,30CT G GSR +2/+4:   --- EKC состояние,30CT G GSR +2/+4:   u69 Sair Темп,34CT G TRT +2/+4:   u09 S5 Темп,34CT G TRT +2/+4:   u69 Sair Темп,34CT G TRT +2/+4:   --- EKC состояние,52CT K PTO -1/+1:   u09 S5 Темп,52CT K PTO -1/+1:   u17 Термостат,52CT K PTO -1/+1:   --- EKC состояние,53K VOP POD PTO:   u17 Термостат,53K VOP POD PTO:   u09 S5 Темп,53K VOP POD PTO:   --- EKC состояние,54K VOP FAS GSR:   --- EKC состояние,54K VOP FAS GSR:   u09 S5 Темп,54K VOP FAS GSR:   u17 Термостат,55CT K GSR +2/+4:   u17 Термостат,55CT K GSR +2/+4:   u09 S5 Темп,55CT K GSR +2/+4:   --- EKC состояние,56CT K COF +5/+8:   u17 Термостат,56CT K COF +5/+8:   u09 S5 Темп,56CT K COF +5/+8:   --- EKC состояние,Gazoanalyzator:   Gas Level %,Gazoanalyzator:   Gas Level Ppm,111CT AG:   Comp A Pressure,111CT AG:   Перегрев A,111CT AG:   Comp A Req Cap,111CT AG:   Comp 2A Status,111CT AG:   Comp 3A Status,111CT AG:   Comp 1A Status,111CT AG:   Comp A Reference,111CT AG:   Comp A Capacity,111CT AG:   Cond Requested Cap,111CT AG:   Cond Running Cap,111CT AG:   Cond Ctrl Pressure,111CT AG:   Sc3 Датч нар воздуха,111CT AG:   Cond Reference
 00:14:00  01/03/2021,11,-1.50,4.50,4.00,11,1.61,2.89,11,-1.22,11,-16.00,-60.00,11,-7.22,9.89,14,10.72,12.11,14.78,14,8.22,14,8.39,11.22,11.78,14,11,-8.61,-0.61,-12.78,0.72,11,3.61,4.11,0,4.39,3.78,11,0,0.11,-3.00,11,-0.39,-4.72,-2.39,0.22,11,7.39,14,7.22,4.00,0,-3.72,11,2.61,3.72,3.39,2.89,11,-8.39,0,4.11,3.39,2.61,11,7.89,4.61,4,10.50,10.50,11,11,17.11,17.22,3.50,3.50,11,5.28,5.50,11,13.60,139,0.66,31.00,32,1,1,3,0.60,31,0,0,6.39,-6.00,14.77
 00:16:00  01/03/2021,11,5.11,5.22,6.61,11,3.61,3.78,11,-0.78,11,-5.22,-60.00,0,-3.89,9.61,14,10.72,12.11,14.78,14,8.22,14,8.39,11.22,11.78,14,11,-6.22,-0.61,-4.72,1.11,11,5.72,5.11,0,3.28,4.11,0,0,-1.22,-10.50,0,0.00,-3.89,0.89,1.28,11,7.39,14,7.22,2.89,0,-3.72,0,5.00,1.89,-8.00,3.72,0,-9.50,0,3.00,4.00,4.22,0,7.39,4.61,15,11.00,11.00,11,11,17.11,17.22,3.50,3.78,11,5.61,5.78,11,13.60,139,0.99,29.83,49,1,1,3,0.60,38,0,0,6.69,-8.39,14.77
 00:18:00  01/03/2021,0,8.11,5.78,7.72,11,-3.22,4.22,0,0.22,11,0.00,-60.00,11,-6.78,9.61,14,10.72,12.11,14.78,14,8.22,4,8.72,11.22,11.78,14,11,-0.50,0.61,0.39,1.89,11,4.11,5.50,0,3.28,4.50,0,11,-2.00,-9.78,11,-2.22,-6.72,2.22,2.22,11,7.39,4,7.22,1.11,11,-8.61,11,1.72,-5.89,-9.78,-0.89,11,-14.28,0,2.00,-16.61,2.61,0,2.39,4.11,0,11.00,5.28,0,11,17.11,17.22,3.89,3.78,11,5.61,5.78,11,13.60,139,1.69,28.28,0,1,2,1,0.60,0,0,0,6.00,-8.39,14.77
 00:20:00  01/03/2021,0,-10.28,6.28,8.39,11,-11.00,2.22,0,1.28,11,2.89,-60.00,0,-4.61,9.89,14,10.72,12.39,14.78,14,8.22,4,8.72,11.22,11.78,14,0,2.72,1.72,3.22,2.50,11,4.39,5.78,0,4.50,5.00,0,11,-1.50,-6.61,11,-1.50,-6.00,3.00,2.78,11,7.72,4,7.22,2.00,11,0.72,11,2.39,0.00,-1.50,0.61,11,-6.78,11,2.00,-11.00,2.22,0,-0.11,3.00,0,10.50,0.39,0,11,17.11,17.22,3.89,4.11,11,5.61,5.78,11,13.60,139,0.92,28.67,35,1,2,3,0.60,33,0,0,6.61,-8.39,14.77
 00:22:00  01/03/2021,11,-14.00,6.89,8.72,11,-8.72,1.11,14,2.39,14,4.22,-60.00,11,-6.00,9.89,4,10.72,12.39,14.78,4,7.50,0,8.72,11.22,11.78,4,0,0.00,1.22,4.11,3.28,11,5.72,6.22,0,5.00,5.50,0,11,-0.72,-4.61,11,-0.28,-4.39,3.72,3.50,11,7.72,0,7.22,3.11,11,3.78,11,3.39,3.61,2.78,2.28,11,1.11,11,2.61,-6.50,1.50,11,-2.50,1.72,0,9.72,-4.72,0,11,17.11,17.22,3.89,4.11,0,5.61,5.78,11,13.60,139,1.01,28.67,46,1,1,3,0.60,38,0,0,6.52,-8.39,14.77
 00:24:00  01/03/2021,11,-3.28,7.22,9.00,11,-0.61,2.39,14,3.22,14,5.72,-60.00,0,-6.00,9.89,4,10.39,12.00,13.78,4,-9.50,0,4.61,11.22,11.11,4,11,-12.89,-1.11,4.11,3.78,11,-3.11,4.50,0,-1.72,5.11,0,11,0.00,-3.28,0,0.00,-4.11,4.28,4.00,11,-11.22,0,4.11,4.28,0,1.89,0,3.00,-9.00,3.50,4.78,0,4.00,11,3.50,-0.39,2.39,11,-7.11,-0.22,11,8.72,-7.72,11,11,17.11,17.22,2.22,-2.28,0,5.89,6.11,11,13.60,139,1.29,23.00,92,3,3,3,0.60,91,0,0,9.20,-8.39,14.77
 00:26:00  01/03/2021,11,4.39,7.50,9.00,11,3.00,3.89,14,4.39,14,7.11,-60.00,11,-5.22,9.89,4,9.72,11.11,12.11,4,-12.72,11,-4.72,10.11,10.00,4,11,-10.28,-2.00,4.11,3.78,11,-15.61,-1.28,11,-17.61,1.61,0,0,-1.28,-17.89,11,-4.00,-11.11,-10.50,-0.50,11,-15.61,11,-1.28,-0.28,11,-17.72,11,-2.50,-10.61,-9.22,-1.00,11,-2.50,0,3.50,4.11,3.61,11,-2.61,-0.78,11,8.28,3.72,11,11,17.11,17.22,1.22,0.39,11,5.89,6.11,11,13.60,139,0.42,37.94,71,3,3,3,0.60,81,0,0,10.88,-6.50,14.77
 00:28:00  01/03/2021,0,8.22,7.78,9.39,11,4.72,4.78,14,5.28,14,8.28,-60.00,11,-7.11,-0.61,11,5.72,6.11,-0.72,0,-7.78,11,-2.11,5.78,0.22,0,11,-2.39,-0.72,3.78,4.11,0,-3.39,0.61,11,-11.78,0.00,11,11,-2.89,-12.50,11,-2.28,-7.28,-5.00,-0.50,11,-4.28,11,1.11,0.00,11,-4.39,11,-0.61,-1.39,-5.22,-0.28,11,-10.61,11,1.22,-3.11,3.22,0,-1.11,-0.78,11,8.78,7.39,11,11,17.11,17.22,2.00,2.00,11,5.89,6.11,11,13.60,139,2.04,15.17,38,1,1,3,0.60,38,0,0,9.37,-6.50,14.77
 00:30:00  01/03/2021,0,-9.39,7.78,9.39,11,5.28,5.50,14,6.11,14,8.89,-60.00,11,-4.72,-6.28,11,5.11,2.61,-3.61,0,-7.22,0,0.50,2.89,-2.28,0,11,1.72,0.78,-10.89,2.39,0,3.11,2.78,11,-3.50,0.00,11,11,-2.89,-12.11,11,-1.11,-5.39,-0.39,0.39,11,1.50,11,3.22,1.39,11,1.72,11,1.11,2.78,0.78,1.61,11,-3.39,11,1.50,-12.00,0.11,11,-0.11,-0.28,11,9.50,9.22,11,11,17.11,17.22,2.78,2.78,11,4.78,4.78,0,13.60,139,0.79,33.11,41,1,3,3,0.60,50,0,0,9.33,-6.50,14.77
 00:32:00  01/03/2021,11,-16.28,7.39,5.50,0,5.72,5.89,14,6.78,14,9.39,-60.00,11,-6.22,1.00,11,6.22,0.39,-7.11,0,-12.00,0,0.00,0.61,-5.50,0,0,1.22,1.72,-6.28,2.39,0,5.72,4.22,0,0.61,1.00,11,11,-2.28,-7.72,11,-0.28,-4.28,1.39,1.28,11,4.11,11,4.00,2.39,11,3.89,11,3.22,3.72,3.28,2.89,11,2.72,11,2.39,-2.78,0.72,11,0.50,0.00,11,10.11,10.00,11,11,17.11,17.22,3.22,3.22,11,2.78,1.72,11,13.60,139,1.05,28.83,66,1,3,3,0.60,68,0,0,8.85,-6.50,14.77
 00:34:00  01/03/2021,11,-2.28,4.39,-12.11,11,6.22,6.39,14,7.39,14,9.78,-60.00,11,-4.72,5.61,11,7.00,-2.22,-7.61,11,-14.11,11,-3.89,-4.61,-13.61,11,0,-13.28,-0.39,-11.39,0.89,11,-7.61,0.78,11,3.11,2.11,11,11,-1.28,-5.28,0,-0.28,-5.22,2.39,2.22,11,-12.50,11,0.72,3.78,11,3.89,11,1.28,-11.61,-4.28,2.50,0,4.28,11,3.61,3.50,2.00,11,1.11,0.00,11,10.61,10.61,11,11,17.11,17.22,3.22,3.50,11,3.11,2.89,11,13.60,139,1.10,28.83,98,3,3,3,0.60,97,0,0,12.95,-6.50,14.77
 00:36:00  01/03/2021,11,4.89,3.22,-9.72,11,6.22,6.72,14,7.89,14,9.78,-60.00,11,-7.50,7.22,11,7.50,0.11,-2.00,11,-6.39,11,-0.61,-3.39,-6.78,11,11,-15.61,-2.00,-8.00,0.89,11,-3.28,1.39,11,3.89,3.11,11,11,-0.50,-4.22,11,-3.11,-9.89,2.89,2.78,11,-12.89,11,-1.39,1.78,11,-11.50,11,-2.00,-9.22,-7.89,-1.00,11,-5.72,0,3.61,4.28,3.78,11,1.39,0.61,11,11.22,10.61,0,11,17.11,17.22,3.61,3.50,11,3.72,3.72,11,13.60,139,2.36,14.94,10,2,1,1,0.60,0,0,0,7.95,-5.89,14.77
 00:38:00  01/03/2021,0,8.22,3.61,-1.61,11,6.61,7.00,14,8.39,14,10.22,-60.00,0,-4.00,8.22,11,7.78,1.89,2.28,0,-8.00,11,-2.39,-0.89,-1.00,11,11,-4.89,-0.72,-1.39,1.78,11,3.78,3.50,11,4.61,4.00,11,0,0.11,-3.11,11,-1.39,-6.50,3.50,3.50,11,-3.00,11,1.28,0.11,11,-7.89,11,0.00,-0.61,-0.22,0.89,11,-12.78,11,0.50,-7.39,2.50,0,1.72,0.61,11,10.72,-1.00,0,11,17.11,17.22,3.61,3.78,11,4.00,4.11,11,13.60,139,1.16,27.44,44,1,1,3,0.60,38,0,0,9.37,-5.89,14.77
 00:40:00  01/03/2021,0,-9.89,4.22,2.78,11,6.61,7.28,14,8.72,14,10.22,-60.00,11,-7.39,8.72,11,7.78,-1.89,-8.61,11,-8.50,11,-3.78,-0.39,1.39,0,11,0.72,0.72,2.72,2.39,11,-2.22,2.61,0,-9.22,2.72,0,0,-1.61,-20.11,11,-0.28,-4.50,4.11,3.89,11,2.72,11,3.11,1.28,11,1.39,11,1.39,3.39,3.11,2.50,11,-4.78,11,0.50,-9.50,-0.22,11,2.00,1.22,11,9.28,-7.00,0,11,17.11,17.22,3.89,3.78,11,4.28,4.39,11,13.60,139,0.26,37.00,0,2,1,1,0.60,0,0,0,9.63,-5.89,14.77
 00:42:00  01/03/2021,11,-15.11,4.89,6.00,11,7.11,7.28,14,9.00,14,10.61,-60.00,0,-3.89,9.00,11,8.11,0.11,-2.89,11,-3.78,0,0.11,-2.39,-2.78,11,0,2.72,1.39,3.78,3.11,11,-3.50,1.61,11,-5.28,2.28,0,11,-3.28,-15.78,0,0.11,-4.00,-2.11,1.89,11,4.22,11,4.00,2.39,11,3.78,0,4.22,3.89,-0.22,5.22,0,1.61,11,1.61,-0.28,0.78,11,2.00,1.22,11,8.72,1.72,11,11,17.11,17.22,3.89,4.11,11,4.28,4.39,11,13.60,139,1.58,23.89,38,2,1,3,0.60,38,0,0,8.20,-5.89,14.77
 00:44:00  01/03/2021,11,-1.39,5.50,7.39,11,7.11,7.72,14,9.28,14,10.61,-60.00,11,-6.28,9.00,11,8.11,2.39,1.89,0,-9.50,0,-0.78,-1.78,-2.78,11,0,-2.61,0.50,4.28,3.78,11,3.00,3.50,11,0.11,2.89,0,11,-2.72,-10.39,0,-1.72,-6.28,-6.78,0.00,11,-4.28,0,2.78,3.78,11,4.11,11,1.72,-5.50,-4.61,2.11,0,3.89,11,2.78,3.89,2.11,11,2.39,1.61,11,9.22,7.89,11,11,17.11,17.22,3.28,2.89,0,4.61,4.72,11,13.60,139,0.99,28.83,44,1,1,3,0.60,38,0,0,8.59,-5.89,14.77
 00:46:00  01/03/2021,11,5.39,6.11,8.00,11,7.39,7.72,14,9.61,14,10.61,-60.00,0,-3.89,9.28,11,8.11,-1.39,-8.72,11,-14.72,11,-3.22,-0.28,1.28,11,11,-10.50,-1.11,4.28,3.78,0,2.28,3.50,0,-1.50,2.89,0,11,-1.89,-6.89,11,-1.72,-6.28,-0.61,0.72,11,-10.89,11,-0.11,3.28,0,-7.61,11,2.11,-0.22,-9.28,0.22,11,3.89,11,3.89,4.22,4.11,0,2.39,1.61,11,9.78,9.50,11,11,17.11,17.22,2.00,-2.22,11,4.61,4.72,11,13.60,139,1.19,24.39,94,3,3,3,0.60,99,0,0,11.61,-7.78,14.77
 00:48:00  01/03/2021,0,8.22,6.50,8.39,11,7.39,8.00,14,9.61,14,10.89,-60.00,11,-5.11,9.28,11,8.11,-2.50,-7.89,11,-5.28,11,0.22,-4.22,-8.28,11,11,-9.61,-1.61,-12.61,1.28,0,-13.39,-1.28,11,-11.78,0.78,11,11,-0.89,-5.00,11,-2.28,-8.39,1.50,1.89,11,-6.22,11,1.22,-0.22,11,-11.72,11,3.22,3.61,-1.78,1.11,11,-11.72,0,1.72,-12.39,1.11,11,2.78,1.89,11,10.28,10.28,11,11,17.11,17.22,1.39,0.72,11,4.61,5.00,11,13.60,139,0.53,34.44,79,3,3,3,0.60,81,0,0,13.65,-7.78,14.77
